School_Name,School_Type,Website,Phone,Email,State,Country
Milwaukee Area Technical College,Mid-Market University,https://www.matc.edu/,(414) 297-6282,,Wisconsin,USA
University of Minnesota - Twin Cities,Mid-Market University,https://twin-cities.umn.edu/,(612) 625-5000,,Minnesota,USA
St. Cloud State University,Mid-Market University,https://www.stcloudstate.edu/,(320) 308-0121,,Minnesota,USA
The Culinary Institute of Virginia,Top-Tier Culinary School,,(757) 233-3070,,Virginia,USA
Culinary Institute of Charleston,Top-Tier Culinary School,https://www.tridenttech.edu/,(843) 574-6111,,South Carolina,USA
Culinary Institute of St. Louis,Top-Tier Culinary School,,(314) 587-2433,,Missouri,USA
Scottsdale Culinary Institute,Top-Tier Culinary School,https://www.chefs.edu/scottsdale,(480) 990-3773,,Arizona,USA
California Culinary Academy - San Francisco,Top-Tier Culinary School,,(415) 771-3500,,California,USA
Culinary Institute of Barcelona,Top-Tier Culinary School,https://www.culinaryinstitute.com/,+34 93 329 2910,,,Spain
Culinary Institute of Vancouver Island,Top-Tier Culinary School,https://www.viu.ca/,(250) 753-3245,,,Canada
Le Cordon Bleu - Ottawa,Top-Tier Culinary School,https://www.cordonbleu.edu/,(613) 236-2433,,,Canada
Kendall College School of Culinary Arts,Top-Tier Culinary School,https://www.kendall.edu/,(312) 261-3500,,Illinois,USA
New York Restaurant School,Top-Tier Culinary School,,(212) 226-5500,,New York,USA
Culinary Institute of the Pacific,Top-Tier Culinary School,https://www.kapiolani.hawaii.edu/,(808) 734-9211,,Hawaii,USA
San Francisco Cooking School,Top-Tier Culinary School,https://www.sfcooking.com/,(415) 552-7700,,California,USA
L'Academie de Cuisine,Top-Tier Culinary School,https://www.lacademie.com/,(301) 670-8670,,Maryland,USA
Natural Gourmet Institute,Top-Tier Culinary School,https://www.ice.edu/,(212) 645-5170,,New York,USA
Culinary Business Academy,Top-Tier Culinary School,https://www.culinarybusinessacademy.com/,,,,USA
Culinary Institute of the Carolinas,Top-Tier Culinary School,https://www.hor.hgtc.edu/,(843) 349-5277,,South Carolina,USA
Culinary Institute of San Antonio,Top-Tier Culinary School,https://www.alamo.edu/sac/,(210) 486-0000,,Texas,USA
Oregon Culinary Institute,Top-Tier Culinary School,https://www.oregonculinary.com/,(503) 961-6200,,Oregon,USA
California School of Culinary Arts - Pasadena,Top-Tier Culinary School,,(626) 229-1300,,California,USA
Pennsylvania Culinary Institute - Pittsburgh,Top-Tier Culinary School,,(412) 566-2433,,Pennsylvania,USA
Southwestern Institute of Culinary Arts,Top-Tier Culinary School,,(505) 254-7777,,New Mexico,USA
Texas Culinary Academy - Austin,Top-Tier Culinary School,,(512) 451-5743,,Texas,USA
Florida Culinary Institute,Top-Tier Culinary School,https://www.fci.edu/,(561) 688-2001,,Florida,USA
Arizona Culinary Institute,Top-Tier Culinary School,https://www.azculinary.com/,(480) 603-1066,,Arizona,USA
Universidad del Claustro de Sor Juana,Top-Tier Culinary School,https://www.ucsj.edu.mx/,+52 55 5130 3300,,,Mexico
Universidad Anáhuac - Gastronomy,Top-Tier Culinary School,https://www.anahuac.mx/,+52 55 5627 0210,,,Mexico
Mente Argentina Culinary Institute,Top-Tier Culinary School,https://www.menteargentina.com/,+54 11 4777 4002,,,Argentina
Instituto Gastronómico De Las Américas,Top-Tier Culinary School,http://www.iga.edu.ec/,+593 2 601 8130,,,Ecuador
Centro Europeo de Estudios Gastronómicos,Top-Tier Culinary School,https://www.ceegas.com.br/,+55 11 3061 8080,,,Brazil
Centro de Formación de la Federación Española de Hostelería,Top-Tier Culinary School,https://cfh.es/,+34 91 533 35 00,,,Spain
Basque Culinary Center,Top-Tier Culinary School,https://www.bculinary.com/,+34 943 574 500,,,Spain
Le Cordon Bleu Madrid,Top-Tier Culinary School,https://www.cordonbleu.edu/,+34 91 432 03 77,,,Spain
Ecole Ritz Escoffier,Top-Tier Culinary School,https://www.ritzparis.com/,+33 1 43 16 30 50,,,France
Le Cordon Bleu - Sydney,Top-Tier Culinary School,https://www.cordonbleu.edu/,+61 2 9289 1456,,,Australia
William Angliss Institute,Top-Tier Culinary School,https://www.angliss.edu.au/,+61 3 9606 2111,,,Australia
Le Cordon Bleu - Adelaide,Top-Tier Culinary School,https://www.cordonbleu.edu/,+61 8 8346 3700,,,Australia
Le Cordon Bleu - Bangkok,Top-Tier Culinary School,https://www.cordonbleu.edu/,+66 2 237 8877,,,Thailand
Suan Dusit University - International Culinary Arts,Top-Tier Culinary School,https://www.dusit.ac.th/,+66 2 244 5280,,,Thailand
Le Cordon Bleu - Seoul,Top-Tier Culinary School,https://www.cordonbleu.edu/,+82 2 719 6961,,,South Korea
Le Cordon Bleu - Shanghai,Top-Tier Culinary School,https://www.cordonbleu.edu/,+86 21 5422 3179,,,China
Taipei Culinary Arts Academy,Top-Tier Culinary School,http://www.tcac.com.tw/,+886 2 2788 3636,,,Taiwan
Ecole Hôtelière de Lausanne,Top-Tier Culinary School,https://www.ehl.edu/,+41 21 785 11 11,,,Switzerland
Glion Institute of Higher Education,Top-Tier Culinary School,https://www.glion.edu/,+41 21 989 26 77,,,Switzerland
Les Roches Global Hospitality Education,Top-Tier Culinary School,https://www.lesroches.edu/,+41 21 989 26 44,,,Switzerland
Culinary Institute of Barcelona - CETT,Top-Tier Culinary School,https://www.cett.es/,+34 93 369 77 44,,,Spain
Hattori Nutrition College,Top-Tier Culinary School,https://www.hattori.ac.jp/,+81 3 3451 0141,,,Japan
Tsuji Culinary Institute,Top-Tier Culinary School,https://www.tsuji.ac.jp/,+81 6 6629 6452,,,Japan
Kendall College Chicago - Laureate Hospitality,Top-Tier Culinary School,https://www.nl.edu/,(312) 752-2000,,Illinois,USA
New York City College of Technology - CUNY,Top-Tier Culinary School,https://www.citytech.cuny.edu/,(718) 260-5500,,New York,USA
Florida Culinary Institute - Lincoln Culinary Institute,Top-Tier Culinary School,https://www.lincolnculinary.com/,(561) 688-2001,,Florida,USA
Baltimore International College,Top-Tier Culinary School,https://www.bic.edu/,(410) 752-4710,,Maryland,USA
Newbury College,Top-Tier Culinary School,https://www.newbury.edu/,(617) 730-7000,,Massachusetts,USA
Stratford University - School of Culinary Arts,Top-Tier Culinary School,https://www.stratford.edu/,(703) 821-8570,,Virginia,USA
Vancouver Island University - Culinary,Top-Tier Culinary School,https://www.viu.ca/,(250) 753-3245,,,Canada
Algonquin College - School of Hospitality & Tourism,Top-Tier Culinary School,https://www.algonquincollege.com/,(613) 727-4723,,,Canada
Niagara College - Canadian Food & Wine Institute,Top-Tier Culinary School,https://www.niagaracollege.ca/,(905) 641-2252,,,Canada
Liaison College - Hospitality,Top-Tier Culinary School,https://www.liaisoncollege.com/,(905) 318-5202,,,Canada
SAIT Polytechnic - School of Hospitality & Tourism,Top-Tier Culinary School,https://www.sait.ca/,(403) 284-8110,,,Canada
Humber College - Hospitality,Top-Tier Culinary School,https://www.humber.ca/,(416) 675-5000,,,Canada
Centennial College - Hospitality Tourism & Culinary Arts,Top-Tier Culinary School,https://www.centennialcollege.ca/,(416) 289-5000,,,Canada
Le Cordon Bleu - Istanbul,Top-Tier Culinary School,https://www.cordonbleu.edu/,+90 212 347 47 47,,,Turkey
Culinary Arts Academy - Dubai,Top-Tier Culinary School,https://www.culinaryartsdubai.com/,+971 4 423 8700,,,UAE
International Centre for Culinary Arts - Dubai,Top-Tier Culinary School,https://www.icca-dubai.com/,+971 4 315 4444,,,UAE
Mediterranean Culinary Academy,Top-Tier Culinary School,http://www.mca.edu.gr/,+30 210 894 8610,,,Greece
Italian Culinary Institute for Foreigners - ICIF,Top-Tier Culinary School,https://www.icif.com/,+39 0173 366 068,,,Italy
CAST Alimenti - Professional Cooking School,Top-Tier Culinary School,https://www.castalimenti.it/,+39 0521 291811,,,Italy
Academia Barilla,Top-Tier Culinary School,https://www.academiabarilla.com/,+39 0521 2691,,,Italy
Gastronomicom - French Culinary School,Top-Tier Culinary School,https://www.gastronomicom.fr/,+33 4 67 13 29 29,,,France
Ferrandi Paris - The French School of Culinary Arts,Top-Tier Culinary School,https://www.ferrandi-paris.fr/,+33 1 49 54 28 00,,,France
Culinary Institute of India,Top-Tier Culinary School,http://www.cii.co.in/,+91 512 239 4060,,,India
Institute of Hotel Management - Mumbai,Top-Tier Culinary School,http://www.ihmcatering.edu.in/,+91 22 2634 4707,,,India
New Zealand School of Food & Wine,Top-Tier Culinary School,https://www.foodandwine.co.nz/,+64 3 379 7501,,,New Zealand
Auckland University of Technology - International Institute of Tourism,Top-Tier Culinary School,https://www.aut.ac.nz/,+64 9 921 9999,,,New Zealand
Art Institute of Atlanta,Top-Tier Culinary School,https://www.artinstitutes.edu/,(770) 394-8300,,Georgia,USA
Orlando Culinary Academy,Top-Tier Culinary School,https://www.orlandoculinary.com/,(407) 888-4000,,Florida,USA
Lincoln College of Technology - Culinary Arts,Top-Tier Culinary School,https://www.lincolntech.edu/,(844) 215-1513,,,USA
Ashworth College - Culinary Arts,Top-Tier Culinary School,https://www.ashworthcollege.edu/,(800) 957-5412,,Georgia,USA
International Culinary Schools at The Art Institutes,Top-Tier Culinary School,https://www.artinstitutes.edu/,(888) 624-0300,,,USA
Escoffier Online,Top-Tier Culinary School,https://www.escoffier.edu/,(855) 955-2433,,Colorado,USA
Culinary Tech Center,Top-Tier Culinary School,https://www.culinarytech.com/,(212) 226-5500,,New York,USA
Star Career Academy - Culinary,Top-Tier Culinary School,https://www.starcareeracademy.edu/,(732) 659-8900,,New Jersey,USA
Lincoln Culinary Institute - Connecticut,Top-Tier Culinary School,https://www.lincolnculinary.com/,(860) 674-1257,,Connecticut,USA
Emeril Lagasse Foundation - Culinary Education,Top-Tier Culinary School,https://www.emerilsfoundation.org/,(504) 524-4241,,Louisiana,USA
Pennsylvania Institute of Culinary Arts,Top-Tier Culinary School,https://www.picarts.com/,(412) 566-2433,,Pennsylvania,USA
Virginia College - Culinary Arts,Top-Tier Culinary School,,(205) 802-1200,,Alabama,USA
Platt College - Culinary Arts,Top-Tier Culinary School,https://www.plattcollege.edu/,(405) 946-7799,,Oklahoma,USA
Escoffier School of Culinary Arts - Online Campus,Top-Tier Culinary School,https://www.escoffier.edu/,(720) 460-2463,,Colorado,USA
Westminster Kingsway College - Victoria Centre,Top-Tier Culinary School,https://www.westking.ac.uk/,+44 (0)20 7963 4181,,,UK
University of West London - Culinary Arts,Top-Tier Culinary School,https://www.uwl.ac.uk/,+44 (0)20 8231 2468,,,UK
Thames Valley University - Hospitality,Top-Tier Culinary School,https://www.tvu.ac.uk/,+44 (0)20 8579 5000,,,UK
Edinburgh New Town Cookery School,Top-Tier Culinary School,https://www.entcs.co.uk/,+44 (0)131 226 4314,,,UK
Birmingham College of Food,Top-Tier Culinary School,https://www.bmet.ac.uk/,+44 (0)121 446 4545,,,UK
Leiths School of Food and Wine,Top-Tier Culinary School,https://www.leiths.com/,+44 (0)20 7229 0177,,,UK
Ashburton Chefs Academy,Top-Tier Culinary School,https://www.ashburtonchefs.co.uk/,+44 (0)1364 652784,,,UK
Manchester College - Hospitality & Culinary,Top-Tier Culinary School,https://www.tmc.ac.uk/,+44 (0)161 203 2100,,,UK
Tante Marie Culinary Academy,Top-Tier Culinary School,https://www.tantemarie.co.uk/,+44 (0)1483 726957,,,UK
Cookery School at Little Portland Street,Top-Tier Culinary School,https://www.thecookeryschool.org/,+44 (0)20 7631 4590,,,UK
Hospitality Institute of America,Top-Tier Culinary School,,(770) 458-9000,,Georgia,USA
Art Institute of Pittsburgh,Top-Tier Culinary School,https://www.artinstitutes.edu/,(412) 263-6600,,Pennsylvania,USA
Art Institute of Philadelphia,Top-Tier Culinary School,https://www.artinstitutes.edu/,(215) 567-7080,,Pennsylvania,USA
Art Institute of Fort Lauderdale,Top-Tier Culinary School,https://www.artinstitutes.edu/,(954) 463-3000,,Florida,USA
Art Institute of Jacksonville,Top-Tier Culinary School,https://www.artinstitutes.edu/,(904) 486-3000,,Florida,USA
Art Institute of Charleston,Top-Tier Culinary School,https://www.artinstitutes.edu/,(843) 727-3500,,South Carolina,USA
Art Institute of Charlotte,Top-Tier Culinary School,https://www.artinstitutes.edu/,(704) 357-8020,,North Carolina,USA
Art Institute of Washington,Top-Tier Culinary School,https://www.artinstitutes.edu/,(703) 358-9550,,Virginia,USA
Art Institute of Houston,Top-Tier Culinary School,https://www.artinstitutes.edu/,(713) 623-2040,,Texas,USA
Art Institute of Dallas,Top-Tier Culinary School,https://www.artinstitutes.edu/,(214) 692-8080,,Texas,USA
Art Institute of San Antonio,Top-Tier Culinary School,https://www.artinstitutes.edu/,(210) 338-7320,,Texas,USA
Art Institute of Phoenix,Top-Tier Culinary School,https://www.artinstitutes.edu/,(602) 331-7500,,Arizona,USA
Art Institute of Las Vegas,Top-Tier Culinary School,https://www.artinstitutes.edu/,(702) 369-9944,,Nevada,USA
Art Institute of California - San Diego,Top-Tier Culinary School,https://www.artinstitutes.edu/,(858) 598-1200,,California,USA
Art Institute of California - Los Angeles,Top-Tier Culinary School,https://www.artinstitutes.edu/,(310) 752-4700,,California,USA
Art Institute of Seattle,Top-Tier Culinary School,https://www.artinstitutes.edu/,(206) 239-2300,,Washington,USA
Art Institute of Portland,Top-Tier Culinary School,https://www.artinstitutes.edu/,(503) 228-6528,,Oregon,USA
Culinary Institute Lenôtre,Top-Tier Culinary School,https://www.culinaryinstitute.edu/,(713) 692-0077,,Texas,USA
University College Birmingham,Top-Tier Culinary School,https://www.ucb.ac.uk/,+44 (0)121 604 1000,,,UK
Sheffield College - Hospitality,Top-Tier Culinary School,https://www.sheffcol.ac.uk/,+44 (0)114 260 2600,,,UK
City of Glasgow College - Culinary,Top-Tier Culinary School,https://www.cityofglasgowcollege.ac.uk/,+44 (0)141 375 5555,,,UK
Bournemouth & Poole College,Top-Tier Culinary School,https://www.thecollege.co.uk/,+44 (0)1202 205205,,,UK
Brighton City College,Top-Tier Culinary School,https://www.gbmc.ac.uk/,+44 (0)1273 667788,,,UK
South Devon College,Top-Tier Culinary School,https://www.southdevon.ac.uk/,+44 (0)1803 540540,,,UK
Cornwall College,Top-Tier Culinary School,https://www.cornwall.ac.uk/,+44 (0)1872 267000,,,UK
College of West Anglia,Top-Tier Culinary School,https://www.cwa.ac.uk/,+44 (0)1553 761144,,,UK
Kankakee Community College,Community College,https://www.kcc.edu/,(815) 802-8100,,Illinois,USA
Joliet Junior College,Community College,https://www.jjc.edu/,(815) 729-9020,,Illinois,USA
Harper College,Community College,https://www.harpercollege.edu/,(847) 925-6000,,Illinois,USA
Triton College,Community College,https://www.triton.edu/,(708) 456-0300,,Illinois,USA
College of DuPage,Community College,https://www.cod.edu/,(630) 942-2800,,Illinois,USA
Parkland College,Community College,https://www.parkland.edu/,(217) 351-2200,,Illinois,USA
Southwestern Illinois College,Community College,https://www.swic.edu/,(618) 235-2700,,Illinois,USA
Richland Community College,Community College,https://www.richland.edu/,(217) 875-7200,,Illinois,USA
Lake Michigan College,Community College,https://www.lakemichigancollege.edu/,(269) 927-1000,,Michigan,USA
Lansing Community College,Community College,https://www.lcc.edu/,(517) 483-1957,,Michigan,USA
Mott Community College,Community College,https://www.mcc.edu/,(810) 762-0200,,Michigan,USA
Kellogg Community College,Community College,https://www.kellogg.edu/,(269) 965-3931,,Michigan,USA
Delta College,Community College,https://www.delta.edu/,(989) 686-9000,,Michigan,USA
Schoolcraft College,Community College,https://www.schoolcraft.edu/,(734) 462-4400,,Michigan,USA
Cincinnati State,Community College,https://www.cincinnatistate.edu/,(513) 569-1500,,Ohio,USA
Lakeland Community College,Community College,https://www.lakelandcc.edu/,(440) 525-7000,,Ohio,USA
Stark State College,Community College,https://www.starkstate.edu/,(330) 494-6170,,Ohio,USA
Terra State Community College,Community College,https://www.terra.edu/,(419) 334-8400,,Ohio,USA
Zane State College,Community College,https://www.zanestate.edu/,(740) 454-2501,,Ohio,USA
Northwest State Community College,Community College,https://www.northweststate.edu/,(419) 267-5511,,Ohio,USA
Edison State Community College,Community College,https://www.edisonohio.edu/,(937) 778-8600,,Ohio,USA
Clark State Community College,Community College,https://www.clarkstate.edu/,(937) 325-0691,,Ohio,USA
Hocking College,Community College,https://www.hocking.edu/,(740) 753-3591,,Ohio,USA
Zane State College,Community College,https://www.zanestate.edu/,(740) 588-1324,,Ohio,USA
Gateway Technical College,Community College,https://www.gtc.edu/,(262) 564-2200,,Wisconsin,USA
Fox Valley Technical College,Community College,https://www.fvtc.edu/,(920) 735-5600,,Wisconsin,USA
Waukesha County Technical College,Community College,https://www.wctc.edu/,(262) 691-5566,,Wisconsin,USA
Milwaukee Area Technical College,Community College,https://www.matc.edu/,(414) 297-6282,,Wisconsin,USA
Chippewa Valley Technical College,Community College,https://www.cvtc.edu/,(715) 833-6200,,Wisconsin,USA
Western Technical College,Community College,https://www.westerntc.edu/,(608) 785-9200,,Wisconsin,USA
Lakeshore Technical College,Community College,https://www.gotoltc.edu/,(920) 693-1000,,Wisconsin,USA
Hennepin Technical College,Community College,https://www.hennepintech.edu/,(952) 995-1300,,Minnesota,USA
Dakota County Technical College,Community College,https://www.dctc.edu/,(651) 423-8000,,Minnesota,USA
Normandale Community College,Community College,https://www.normandale.edu/,(952) 358-8200,,Minnesota,USA
Century College,Community College,https://www.century.edu/,(651) 779-3200,,Minnesota,USA
Anoka-Ramsey Community College,Community College,https://www.anokaramsey.edu/,(763) 433-1100,,Minnesota,USA
North Hennepin Community College,Community College,https://www.nhcc.edu/,(763) 424-0702,,Minnesota,USA
Inver Hills Community College,Community College,https://www.inverhills.edu/,(651) 450-3000,,Minnesota,USA
Riverland Community College,Community College,https://www.riverland.edu/,(507) 433-0600,,Minnesota,USA
Vincennes University,Community College,https://www.vinu.edu/,(812) 888-4313,,Indiana,USA
Purdue University Northwest,Community College,https://www.pnw.edu/,(219) 989-2400,,Indiana,USA
Vincennes University Jasper Campus,Community College,https://www.vinu.edu/jasper,(812) 482-3030,,Indiana,USA
Ball State University,Community College,https://www.bsu.edu/,(765) 289-1241,,Indiana,USA
Kalamazoo Valley Community College,Community College,https://www.kvcc.edu/,(269) 488-4400,,Michigan,USA
Jackson College,Community College,https://www.jccmi.edu/,(517) 787-0800,,Michigan,USA
Southwestern Michigan College,Community College,https://www.swmich.edu/,(269) 782-1000,,Michigan,USA
Alpena Community College,Community College,https://www.alpenacc.edu/,(989) 356-9021,,Michigan,USA
Bay College,Community College,https://www.baycollege.edu/,(906) 786-5802,,Michigan,USA
Gogebic Community College,Community College,https://www.gogebic.edu/,(906) 932-4231,,Michigan,USA
Kirtland Community College,Community College,https://www.kirtland.edu/,(989) 275-5000,,Michigan,USA
Le Cordon Bleu - Cambridge,Top-Tier Culinary School,https://www.cordonbleu.edu/,+44 (0)1223 464646,,,UK
Ashford Hospitality College,Top-Tier Culinary School,https://www.ashford.ac.uk/,+44 (0)1233 555222,,,UK
Colchester Institute - Hospitality,Top-Tier Culinary School,https://www.colchester.ac.uk/,+44 (0)1206 712000,,,UK
East Kent College - Culinary Arts,Top-Tier Culinary School,https://www.eastkent.ac.uk/,+44 (0)1843 605040,,,UK
Guildford College - Hospitality,Top-Tier Culinary School,https://www.guildford.ac.uk/,+44 (0)1483 448585,,,UK
Kendal College - Hospitality,Top-Tier Culinary School,https://www.kendal.ac.uk/,+44 (0)1539 814700,,,UK
Leeds City College - Hospitality,Top-Tier Culinary School,https://www.leedscitycollege.ac.uk/,+44 (0)113 386 1997,,,UK
Newcastle College - Hospitality,Top-Tier Culinary School,https://www.ncl-coll.ac.uk/,+44 (0)191 200 4000,,,UK
North Warwickshire & South Leicestershire College,Top-Tier Culinary School,https://www.nwslc.ac.uk/,+44 (0)1455 291291,,,UK
Nottingham College - Hospitality,Top-Tier Culinary School,https://www.nottinghamcollege.ac.uk/,+44 (0)115 910 0100,,,UK
Oxford & Cherwell Valley College,Top-Tier Culinary School,https://www.activatelearning.ac.uk/,+44 (0)1865 550550,,,UK
Peterborough Regional College - Hospitality,Top-Tier Culinary School,https://www.peterborough.ac.uk/,+44 (0)345 872 8722,,,UK
South & City College Birmingham,Top-Tier Culinary School,https://www.sccb.ac.uk/,+44 (0)121 694 5000,,,UK
Stockport College - Hospitality,Top-Tier Culinary School,https://www.stockport.ac.uk/,+44 (0)161 958 3100,,,UK
Sunderland College - Hospitality,Top-Tier Culinary School,https://www.sunderlandcollege.ac.uk/,+44 (0)191 511 6000,,,UK
Wigan & Leigh College - Hospitality,Top-Tier Culinary School,https://www.wigan-leigh.ac.uk/,+44 (0)1942 761600,,,UK
York College - Hospitality,Top-Tier Culinary School,https://www.yorkcollege.ac.uk/,+44 (0)1904 770200,,,UK
Bradford College - Hospitality,Top-Tier Culinary School,https://www.bradfordcollege.ac.uk/,+44 (0)1274 433333,,,UK
Blackpool & The Fylde College,Top-Tier Culinary School,https://www.blackpool.ac.uk/,+44 (0)1253 352352,,,UK
Bournemouth & Poole College - Hospitality,Top-Tier Culinary School,https://www.thecollege.co.uk/,+44 (0)1202 205205,,,UK
Canterbury College - Hospitality,Top-Tier Culinary School,https://www.canterburycollege.ac.uk/,+44 (0)1227 811111,,,UK
City of Bristol College - Hospitality,Top-Tier Culinary School,https://www.cityofbristol.ac.uk/,+44 (0)117 312 5000,,,UK
Derby College - Hospitality,Top-Tier Culinary School,https://www.derby-college.ac.uk/,+44 (0)1332 387421,,,UK
Doncaster College - Hospitality,Top-Tier Culinary School,https://www.don.ac.uk/,+44 (0)1302 553553,,,UK
Exeter College - Hospitality,Top-Tier Culinary School,https://www.exe-coll.ac.uk/,+44 (0)1392 400500,,,UK
Hull College - Hospitality,Top-Tier Culinary School,https://www.hull-college.ac.uk/,+44 (0)1482 329943,,,UK
Leicester College - Hospitality,Top-Tier Culinary School,https://www.leicestercollege.ac.uk/,+44 (0)116 224 2240,,,UK
Lincoln College - Hospitality,Top-Tier Culinary School,https://www.lincolncollege.ac.uk/,+44 (0)1522 876000,,,UK
Middlesbrough College - Hospitality,Top-Tier Culinary School,https://www.mbro.ac.uk/,+44 (0)1642 333333,,,UK
New College Durham - Hospitality,Top-Tier Culinary School,https://www.newdur.ac.uk/,+44 (0)191 375 4000,,,UK
Norwich City College - Hospitality,Top-Tier Culinary School,https://www.ccn.ac.uk/,+44 (0)1603 773311,,,UK
Plymouth City College - Hospitality,Top-Tier Culinary School,https://www.cityplym.ac.uk/,+44 (0)1752 305300,,,UK
Preston College - Hospitality,Top-Tier Culinary School,https://www.preston.ac.uk/,+44 (0)1772 225000,,,UK
Salford City College - Hospitality,Top-Tier Culinary School,https://www.salfordcc.ac.uk/,+44 (0)161 631 5000,,,UK
Somerset College - Hospitality,Top-Tier Culinary School,https://www.somerset.ac.uk/,+44 (0)1823 366331,,,UK
Southport College - Hospitality,Top-Tier Culinary School,https://www.southportcollege.ac.uk/,+44 (0)1704 500606,,,UK
Strode College - Hospitality,Top-Tier Culinary School,https://www.strode-college.ac.uk/,+44 (0)1458 844400,,,UK
Tameside College - Hospitality,Top-Tier Culinary School,https://www.tameside.ac.uk/,+44 (0)161 908 6600,,,UK
Truro & Penwith College - Hospitality,Top-Tier Culinary School,https://www.truro-penwith.ac.uk/,+44 (0)1872 267000,,,UK
Warrington & Vale Royal College,Top-Tier Culinary School,https://www.wvr.ac.uk/,+44 (0)1925 494494,,,UK
West Cheshire College - Hospitality,Top-Tier Culinary School,https://www.west-cheshire.ac.uk/,+44 (0)1244 656555,,,UK
Wirral Metropolitan College - Hospitality,Top-Tier Culinary School,https://www.wmc.ac.uk/,+44 (0)151 551 7777,,,UK
Yeovil College - Hospitality,Top-Tier Culinary School,https://www.yeovil.ac.uk/,+44 (0)1935 423921,,,UK
George Brown College - Chef School,Top-Tier Culinary School,https://www.georgebrown.ca/,(416) 415-5000,,,Canada
Culinary Institute of Canada - Holland College,Top-Tier Culinary School,https://www.hollandcollege.com/,(902) 566-9600,,,Canada
Northern Alberta Institute of Technology - Culinary,Top-Tier Culinary School,https://www.nait.ca/,(780) 471-6248,,,Canada
British Columbia Institute of Technology - Culinary,Top-Tier Culinary School,https://www.bcit.ca/,(604) 434-5734,,,Canada
Liaison College - Hamilton,Top-Tier Culinary School,https://www.liaisoncollege.com/,(905) 318-5202,,,Canada
Stratford Chefs School,Top-Tier Culinary School,https://www.stratfordchefschool.com/,(519) 271-1414,,,Canada
Pacific Institute of Culinary Arts,Top-Tier Culinary School,https://www.picachef.com/,(604) 734-4488,,,Canada
Dubrulle Culinary Arts,Top-Tier Culinary School,https://www.dubrulle.com/,(604) 738-3155,,,Canada
Culinary Arts Program at Camosun College,Top-Tier Culinary School,https://www.camosun.ca/,(250) 370-3550,,,Canada
Vancouver Community College - Culinary Arts,Top-Tier Culinary School,https://www.vcc.ca/,(604) 871-7000,,,Canada
Red River College - Culinary Arts,Top-Tier Culinary School,https://www.rrc.ca/,(204) 632-2327,,,Canada
Fanshawe College - Culinary Management,Top-Tier Culinary School,https://www.fanshawec.ca/,(519) 452-4430,,,Canada
Conestoga College - Hospitality,Top-Tier Culinary School,https://www.conestogac.on.ca/,(519) 748-5220,,,Canada
Mohawk College - Hospitality,Top-Tier Culinary School,https://www.mohawkcollege.ca/,(905) 575-1212,,,Canada
Durham College - Culinary Management,Top-Tier Culinary School,https://www.durhamcollege.ca/,(905) 721-2000,,,Canada
St. Lawrence College - Culinary,Top-Tier Culinary School,https://www.stlawrencecollege.ca/,(613) 544-5400,,,Canada
Seneca College - Hospitality & Tourism,Top-Tier Culinary School,https://www.senecacollege.ca/,(416) 491-5050,,,Canada
Sheridan College - Culinary Management,Top-Tier Culinary School,https://www.sheridancollege.ca/,(905) 845-9430,,,Canada
Confederation College - Culinary,Top-Tier Culinary School,https://www.confederationcollege.ca/,(807) 475-6110,,,Canada
Cambrian College - Culinary Management,Top-Tier Culinary School,https://www.cambriancollege.ca/,(705) 566-8101,,,Canada
Canadore College - Culinary Arts,Top-Tier Culinary School,https://www.canadorecollege.ca/,(705) 474-7600,,,Canada
Fleming College - Culinary Management,Top-Tier Culinary School,https://www.flemingcollege.ca/,(705) 749-5530,,,Canada
Loyalist College - Culinary Management,Top-Tier Culinary School,https://www.loyalistcollege.com/,(613) 969-1913,,,Canada
The Culinary Institute of America at Copia,Top-Tier Culinary School,https://www.ciaatcopia.com/,(707) 967-2500,,California,USA
New England Culinary Institute - Montpelier,Top-Tier Culinary School,https://neci.edu/,877-223-6324,,Vermont,USA
Culinary Institute of America - Singapore,Top-Tier Culinary School,https://www.cia.edu/singapore,+65 6592 8537,,,Singapore
International Culinary Center - California,Top-Tier Culinary School,https://www.internationalculinarycenter.com/,(888) 324-2433,,California,USA
Auguste Escoffier School - Online,Top-Tier Culinary School,https://www.escoffier.edu/,(855) 955-2433,,,USA
Culinary Institute of America - Hyde Park,Top-Tier Culinary School,https://www.ciachef.edu/,845-452-9600,,New York,USA
Institute of Culinary Education - Los Angeles,Top-Tier Culinary School,https://www.ice.edu/,(888) 354-2433,,California,USA
French Culinary Institute - New York,Top-Tier Culinary School,https://www.internationalculinarycenter.com/,(888) 324-2433,,New York,USA
Suffolk County Community College,Community College,https://www.sunysuffolk.edu/,(631) 451-4110,,New York,USA
Westchester Community College - Culinary,Community College,https://www.sunywcc.edu/,(914) 606-6600,,New York,USA
Erie Community College,Community College,https://www.ecc.edu/,(716) 851-1001,,New York,USA
Rockland Community College,Community College,https://www.sunyrockland.edu/,(845) 574-4000,,New York,USA
Dutchess Community College,Community College,https://www.sunydutchess.edu/,(845) 431-8000,,New York,USA
Ulster County Community College,Community College,https://www.sunyulster.edu/,(845) 687-5000,,New York,USA
Hudson Valley Community College,Community College,https://www.hvcc.edu/,(518) 629-4822,,New York,USA
Schenectady County Community College,Community College,https://www.sunysccc.edu/,(518) 381-1200,,New York,USA
